product_id,product_name,category,units_sold,revenue,average_discount,average_price,return_rate
172,Programmable radical archive,Groceries,594,6502.38,0.1412,10.95,0.0185
173,Streamlined bifurcated Internet solution,Toys,589,42232.27,0.1259,71.68,0.0153
174,Automated systemic architecture,Groceries,519,19064.43,0.1452,36.81,0.0096
175,Exclusive user-facing protocol,Groceries,595,9745.17,0.1417,16.39,0.0084
176,Customer-focused next generation open architecture,Sporting Goods,528,112021.5,0.1444,212.3,0.0189
177,Optional multimedia adapter,Beauty,568,9454.47,0.1473,16.64,0.0194
178,Multi-channeled tangible paradigm,Sporting Goods,529,68934.9,0.1304,130.27,0.0208
179,Inverse holistic forecast,Groceries,445,5803.94,0.1637,13.06,0.0225
180,Synchronized interactive moratorium,Apparel,542,33484.96,0.1325,61.78,0.0166
181,Ameliorated leadingedge success,Home & Kitchen,536,66395.45,0.1357,123.97,0.0093
182,Upgradable background algorithm,Beauty,510,32042.1,0.1333,62.85,0.0196
183,Seamless 24/7 approach,Toys,508,29327.9,0.1302,57.76,0.0098
184,Ameliorated interactive flexibility,Apparel,511,61284.46,0.1433,119.9,0.002
185,Function-based national framework,Home & Kitchen,573,88767.8,0.127,154.78,0.0122
186,Assimilated heuristic knowledge user,Sporting Goods,499,52034.78,0.141,104.13,0.014
187,Integrated 5thgeneration capability,Sporting Goods,478,49296.16,0.144,102.94,0.0167
188,Stand-alone hybrid framework,Home & Kitchen,557,59884.84,0.1314,107.52,0.0197
189,Future-proofed web-enabled functionalities,Sporting Goods,513,108158.4,0.1474,210.67,0.0156
190,Configurable heuristic analyzer,Apparel,522,68971.02,0.1342,131.94,0.0211
191,User-centric didactic moratorium,Beauty,557,10180.37,0.1455,18.25,0.0287
192,Decentralized intangible groupware,Beauty,541,4127.46,0.1501,7.64,0.0148
193,Multi-lateral non-volatile knowledge user,Apparel,504,8978.91,0.1238,17.8,0.0159
194,Horizontal bifurcated methodology,Sporting Goods,570,12616.9,0.1366,22.13,0.0158
195,Multi-channeled motivating contingency,Groceries,541,10955.85,0.1395,20.29,0.0166
196,Customer-focused leadingedge interface,Apparel,545,63050.5,0.1351,115.67,0.0128
197,Optional mission-critical conglomeration,Sporting Goods,582,62534.93,0.15,107.3,0.0137
198,Face-to-face static policy,Toys,558,23931.56,0.137,42.88,0.0233
199,Up-sized encompassing firmware,Groceries,562,19878.3,0.1435,35.33,0.0107
200,Proactive responsive installation,Toys,552,49989.75,0.1405,90.56,0.0199
