month,product_id,product_name,category,units_sold,revenue,average_price,average_discount,returns,return_rate
2025-07,2,Virtual client-server Local Area Network,Sporting Goods,27.0,7464.5,277.95,0.1,0.0,0.0
2025-08,2,Virtual client-server Local Area Network,Sporting Goods,33.0,9204.34,277.81,0.2,0.0,0.0
2025-09,2,Virtual client-server Local Area Network,Sporting Goods,31.0,8643.1,279.28,0.1,4.0,0.129
2025-10,2,Virtual client-server Local Area Network,Sporting Goods,46.0,12655.98,274.52,0.1667,4.0,0.087
2025-11,2,Virtual client-server Local Area Network,Sporting Goods,29.0,8137.98,280.62,,0.0,0.0
2025-12,2,Virtual client-server Local Area Network,Sporting Goods,37.0,10158.46,274.24,0.125,2.0,0.0541
2026-01,2,Virtual client-server Local Area Network,Sporting Goods,29.0,8137.98,280.62,,2.0,0.069
2026-02,2,Virtual client-server Local Area Network,Sporting Goods,56.0,15686.66,279.68,0.1,0.0,0.0
2026-03,2,Virtual client-server Local Area Network,Sporting Goods,28.0,7801.24,279.14,0.1,0.0,0.0
2026-04,2,Virtual client-server Local Area Network,Sporting Goods,37.0,10382.94,280.62,,0.0,0.0
2026-05,2,Virtual client-server Local Area Network,Sporting Goods,31.0,8643.1,279.14,0.1,1.0,0.0323
2026-06,2,Virtual client-server Local Area Network,Sporting Goods,37.0,10382.94,280.62,,1.0,0.027
2026-07,2,Virtual client-server Local Area Network,Sporting Goods,0.0,0.0,,,1.0,0.0
2025-01,3,Multi-layered static standardization,Home & Kitchen,14.0,5435.5,388.25,,0.0,0.0
2025-02,3,Multi-layered static standardization,Home & Kitchen,25.0,9589.76,381.78,0.1,1.0,0.04
2025-03,3,Multi-layered static standardization,Home & Kitchen,14.0,5319.02,373.69,0.15,1.0,0.0714
2025-04,3,Multi-layered static standardization,Home & Kitchen,25.0,9628.59,385.97,0.1,0.0,0.0
2025-05,3,Multi-layered static standardization,Home & Kitchen,29.0,10832.17,377.46,0.1667,0.0,0.0
2025-06,3,Multi-layered static standardization,Home & Kitchen,19.0,7337.92,385.01,0.1,2.0,0.1053
2025-07,3,Multi-layered static standardization,Home & Kitchen,22.0,8230.88,377.16,0.1333,1.0,0.0455
2025-08,3,Multi-layered static standardization,Home & Kitchen,25.0,9628.59,383.07,0.1,0.0,0.0
2025-09,3,Multi-layered static standardization,Home & Kitchen,22.0,8463.84,385.26,0.1,0.0,0.0
2025-10,3,Multi-layered static standardization,Home & Kitchen,33.0,12579.3,383.68,0.2,0.0,0.0
2025-11,3,Multi-layered static standardization,Home & Kitchen,22.0,8502.67,385.82,0.1,0.0,0.0
2025-12,3,Multi-layered static standardization,Home & Kitchen,24.0,9162.7,383.07,0.2,0.0,0.0
2026-01,3,Multi-layered static standardization,Home & Kitchen,28.0,10754.52,381.78,0.15,0.0,0.0
2026-02,3,Multi-layered static standardization,Home & Kitchen,21.0,8153.25,388.25,,1.0,0.0476
2026-03,3,Multi-layered static standardization,Home & Kitchen,38.0,14675.84,386.31,0.1,2.0,0.0526
2026-04,3,Multi-layered static standardization,Home & Kitchen,35.0,13472.26,386.31,0.1,1.0,0.0286
2026-05,3,Multi-layered static standardization,Home & Kitchen,32.0,12385.17,386.21,0.1,0.0,0.0
2026-06,3,Multi-layered static standardization,Home & Kitchen,26.0,10016.85,383.4,0.2,2.0,0.0769
2026-07,3,Multi-layered static standardization,Home & Kitchen,1.0,310.6,310.6,0.2,0.0,0.0
2025-01,4,Cross-platform logistical policy,Electronics,6.0,2131.44,355.24,,0.0,0.0
2025-02,4,Cross-platform logistical policy,Electronics,16.0,5435.19,340.44,0.125,1.0,0.0625
2025-03,4,Cross-platform logistical policy,Electronics,29.0,10053.3,347.35,0.1333,0.0,0.0
2025-04,4,Cross-platform logistical policy,Electronics,15.0,5186.51,342.32,0.1333,0.0,0.0
2025-05,4,Cross-platform logistical policy,Electronics,30.0,10479.6,350.8,0.1,0.0,0.0
2025-06,4,Cross-platform logistical policy,Electronics,33.0,11367.69,344.02,0.15,2.0,0.0606
2025-07,4,Cross-platform logistical policy,Electronics,29.0,10301.96,355.24,,0.0,0.0
2025-08,4,Cross-platform logistical policy,Electronics,34.0,11865.01,346.88,0.2,0.0,0.0
2025-09,4,Cross-platform logistical policy,Electronics,25.0,8774.43,348.97,0.15,1.0,0.04
2025-10,4,Cross-platform logistical policy,Electronics,31.0,10905.88,351.5,0.1,0.0,0.0
2025-11,4,Cross-platform logistical policy,Electronics,39.0,13676.74,350.4,0.15,1.0,0.0256
2025-12,4,Cross-platform logistical policy,Electronics,37.0,12859.68,348.78,0.2,0.0,0.0
2026-01,4,Cross-platform logistical policy,Electronics,27.0,9449.38,347.76,0.2,1.0,0.037
2026-02,4,Cross-platform logistical policy,Electronics,20.0,6749.56,340.44,0.1667,1.0,0.05
2026-03,4,Cross-platform logistical policy,Electronics,36.0,12682.08,350.17,0.1,0.0,0.0
2026-04,4,Cross-platform logistical policy,Electronics,49.0,17122.6,349.98,0.1,0.0,0.0
2026-05,4,Cross-platform logistical policy,Electronics,40.0,14209.6,355.24,,1.0,0.025
2026-06,4,Cross-platform logistical policy,Electronics,42.0,14422.77,343.87,0.1333,0.0,0.0
2026-07,4,Cross-platform logistical policy,Electronics,4.0,1420.96,355.24,,0.0,0.0
2025-01,5,Proactive real-time adapter,Sporting Goods,26.0,5769.4,221.9,,0.0,0.0
2025-02,5,Proactive real-time adapter,Sporting Goods,14.0,3017.84,217.46,0.2,0.0,0.0
2025-03,5,Proactive real-time adapter,Sporting Goods,26.0,5569.69,216.68,0.1333,0.0,0.0
2025-04,5,Proactive real-time adapter,Sporting Goods,20.0,4349.24,218.2,0.1,0.0,0.0
2025-05,5,Proactive real-time adapter,Sporting Goods,29.0,6346.34,217.46,0.1333,0.0,0.0
2025-06,5,Proactive real-time adapter,Sporting Goods,27.0,5902.54,217.46,0.15,2.0,0.0741
2025-07,5,Proactive real-time adapter,Sporting Goods,38.0,8387.82,220.79,0.1,0.0,0.0
2025-08,5,Proactive real-time adapter,Sporting Goods,26.0,5769.4,221.9,,1.0,0.0385
2025-09,5,Proactive real-time adapter,Sporting Goods,26.0,5569.69,215.74,0.125,2.0,0.0769
2025-10,5,Proactive real-time adapter,Sporting Goods,27.0,5791.59,217.23,0.1333,0.0,0.0
2025-11,5,Proactive real-time adapter,Sporting Goods,30.0,6301.96,212.19,0.14,0.0,0.0
2025-12,5,Proactive real-time adapter,Sporting Goods,27.0,5813.78,215.74,0.125,2.0,0.0741
2026-01,5,Proactive real-time adapter,Sporting Goods,37.0,8210.3,221.9,,1.0,0.027
2026-02,5,Proactive real-time adapter,Sporting Goods,40.0,8853.81,221.08,0.1,1.0,0.025
2026-03,5,Proactive real-time adapter,Sporting Goods,61.0,13247.43,217.59,0.14,0.0,0.0
2026-04,5,Proactive real-time adapter,Sporting Goods,42.0,9186.66,219.34,0.15,1.0,0.0238
2026-05,5,Proactive real-time adapter,Sporting Goods,34.0,7411.46,219.56,0.2,0.0,0.0
2026-06,5,Proactive real-time adapter,Sporting Goods,24.0,5281.22,220.42,0.1,0.0,0.0
2026-07,5,Proactive real-time adapter,Sporting Goods,2.0,443.8,221.9,,0.0,0.0
2025-01,6,Profound intermediate orchestration,Electronics,7.0,1918.89,277.49,0.1,1.0,0.1429
2025-02,6,Profound intermediate orchestration,Electronics,25.0,6998.31,279.84,0.1,1.0,0.04
2025-03,6,Profound intermediate orchestration,Electronics,22.0,6095.3,278.43,0.1,0.0,0.0
2025-04,6,Profound intermediate orchestration,Electronics,28.0,7873.1,280.31,0.1,1.0,0.0357
2025-05,6,Profound intermediate orchestration,Electronics,33.0,9058.29,272.31,0.175,0.0,0.0
2025-06,6,Profound intermediate orchestration,Electronics,16.0,4515.04,282.19,,0.0,0.0
2025-07,6,Profound intermediate orchestration,Electronics,25.0,6941.87,276.9,0.15,0.0,0.0
2025-08,6,Profound intermediate orchestration,Electronics,34.0,9481.58,277.73,0.1,0.0,0.0
2025-09,6,Profound intermediate orchestration,Electronics,29.0,7957.75,275.92,0.2,0.0,0.0
2025-10,6,Profound intermediate orchestration,Electronics,21.0,5756.67,276.55,0.15,0.0,0.0
2025-11,6,Profound intermediate orchestration,Electronics,31.0,8465.69,275.14,0.1667,0.0,0.0
2025-12,6,Profound intermediate orchestration,Electronics,31.0,8747.89,282.19,,1.0,0.0323
2026-01,6,Profound intermediate orchestration,Electronics,31.0,8663.23,279.5,0.1,2.0,0.0645
2026-02,6,Profound intermediate orchestration,Electronics,38.0,10553.9,274.83,0.15,0.0,0.0
2026-03,6,Profound intermediate orchestration,Electronics,25.0,6998.31,278.43,0.1,0.0,0.0
2026-04,6,Profound intermediate orchestration,Electronics,34.0,9453.36,276.81,0.1,3.0,0.0882
2026-05,6,Profound intermediate orchestration,Electronics,45.0,12670.33,281.1,0.1,0.0,0.0
2026-06,6,Profound intermediate orchestration,Electronics,37.0,10299.93,278.01,0.1333,1.0,0.027
2026-07,6,Profound intermediate orchestration,Electronics,0.0,0.0,,,0.0,0.0
2025-01,7,Multi-layered regional neural-net,Apparel,13.0,515.36,39.9,0.1,1.0,0.0769
2025-02,7,Multi-layered regional neural-net,Apparel,16.0,649.28,40.58,,0.0,0.0
2025-03,7,Multi-layered regional neural-net,Apparel,21.0,852.18,40.58,,0.0,0.0
2025-04,7,Multi-layered regional neural-net,Apparel,29.0,1168.7,40.07,0.2001,1.0,0.0345
2025-05,7,Multi-layered regional neural-net,Apparel,24.0,969.86,40.33,0.1,1.0,0.0417
2025-06,7,Multi-layered regional neural-net,Apparel,26.0,1034.78,39.82,0.1,1.0,0.0385
2025-07,7,Multi-layered regional neural-net,Apparel,22.0,884.64,40.0,0.2001,0.0,0.0
2025-08,7,Multi-layered regional neural-net,Apparel,35.0,1412.18,40.19,0.1,0.0,0.0
2025-09,7,Multi-layered regional neural-net,Apparel,50.0,2008.7,39.93,0.1334,3.0,0.06
2025-10,7,Multi-layered regional neural-net,Apparel,24.0,973.92,40.58,,0.0,0.0
2025-11,7,Multi-layered regional neural-net,Apparel,33.0,1331.02,40.17,0.1,0.0,0.0
2025-12,7,Multi-layered regional neural-net,Apparel,24.0,965.8,40.31,0.1,0.0,0.0
2026-01,7,Multi-layered regional neural-net,Apparel,48.0,1939.72,40.31,0.2001,2.0,0.0417
2026-02,7,Multi-layered regional neural-net,Apparel,24.0,961.74,40.31,0.1,0.0,0.0
2026-03,7,Multi-layered regional neural-net,Apparel,42.0,1675.94,39.68,0.1501,1.0,0.0238
2026-04,7,Multi-layered regional neural-net,Apparel,44.0,1773.34,40.26,0.1,0.0,0.0
2026-05,7,Multi-layered regional neural-net,Apparel,32.0,1282.32,39.97,0.1,2.0,0.0625
2026-06,7,Multi-layered regional neural-net,Apparel,32.0,1298.56,40.58,,0.0,0.0
2026-07,7,Multi-layered regional neural-net,Apparel,7.0,284.06,40.58,,0.0,0.0
2025-01,8,Versatile intermediate infrastructure,Toys,38.0,2932.16,77.42,0.1,0.0,0.0
2025-02,8,Versatile intermediate infrastructure,Toys,26.0,2038.4,78.4,,0.0,0.0
2025-03,8,Versatile intermediate infrastructure,Toys,20.0,1552.32,77.69,0.1,0.0,0.0
2025-04,8,Versatile intermediate infrastructure,Toys,16.0,1168.16,74.12,0.12,0.0,0.0
2025-05,8,Versatile intermediate infrastructure,Toys,19.0,1489.6,78.4,,0.0,0.0
2025-06,8,Versatile intermediate infrastructure,Toys,7.0,548.8,78.4,,0.0,0.0
2025-07,8,Versatile intermediate infrastructure,Toys,36.0,2791.04,77.53,0.1,0.0,0.0
2025-08,8,Versatile intermediate infrastructure,Toys,28.0,2171.68,77.48,0.1,0.0,0.0
2025-09,8,Versatile intermediate infrastructure,Toys,16.0,1215.2,76.44,0.15,0.0,0.0
2025-10,8,Versatile intermediate infrastructure,Toys,37.0,2838.08,76.62,0.125,0.0,0.0
2025-11,8,Versatile intermediate infrastructure,Toys,26.0,2038.4,78.4,,0.0,0.0
2025-12,8,Versatile intermediate infrastructure,Toys,35.0,2712.64,77.77,0.2,0.0,0.0
2026-01,8,Versatile intermediate infrastructure,Toys,35.0,2696.96,76.97,0.2,1.0,0.0286
2026-02,8,Versatile intermediate infrastructure,Toys,39.0,2947.84,76.16,0.2,1.0,0.0256
2026-03,8,Versatile intermediate infrastructure,Toys,46.0,3535.84,77.05,0.125,1.0,0.0217
2026-04,8,Versatile intermediate infrastructure,Toys,55.0,4264.96,77.14,0.1,0.0,0.0
2026-05,8,Versatile intermediate infrastructure,Toys,31.0,2359.84,76.34,0.1667,0.0,0.0
2026-06,8,Versatile intermediate infrastructure,Toys,31.0,2430.4,78.4,,0.0,0.0
2026-07,8,Versatile intermediate infrastructure,Toys,5.0,392.0,78.4,,0.0,0.0
2025-01,9,Enhanced analyzing benchmark,Groceries,23.0,845.63,36.84,0.1333,0.0,0.0
2025-02,9,Enhanced analyzing benchmark,Groceries,21.0,796.32,37.92,,0.0,0.0
2025-03,9,Enhanced analyzing benchmark,Groceries,23.0,864.58,37.41,0.1999,0.0,0.0
2025-04,9,Enhanced analyzing benchmark,Groceries,29.0,1084.52,37.47,0.0999,1.0,0.0345
2025-05,9,Enhanced analyzing benchmark,Groceries,31.0,1152.78,37.23,0.1999,0.0,0.0
2025-06,9,Enhanced analyzing benchmark,Groceries,15.0,549.85,36.78,0.0999,1.0,0.0667
2025-07,9,Enhanced analyzing benchmark,Groceries,35.0,1300.67,37.32,0.1499,0.0,0.0
2025-08,9,Enhanced analyzing benchmark,Groceries,43.0,1611.61,37.6,0.0999,1.0,0.0233
2025-09,9,Enhanced analyzing benchmark,Groceries,40.0,1501.64,37.62,0.0999,1.0,0.025
2025-10,9,Enhanced analyzing benchmark,Groceries,33.0,1205.88,36.4,0.1999,0.0,0.0
2025-11,9,Enhanced analyzing benchmark,Groceries,26.0,982.13,37.7,0.0999,1.0,0.0385
2025-12,9,Enhanced analyzing benchmark,Groceries,41.0,1505.45,37.01,0.1499,0.0,0.0
2026-01,9,Enhanced analyzing benchmark,Groceries,33.0,1239.99,37.38,0.1499,2.0,0.0606
2026-02,9,Enhanced analyzing benchmark,Groceries,37.0,1380.3,37.26,0.1333,0.0,0.0
2026-03,9,Enhanced analyzing benchmark,Groceries,31.0,1145.2,36.87,0.1666,0.0,0.0
2026-04,9,Enhanced analyzing benchmark,Groceries,44.0,1657.11,37.43,0.0999,1.0,0.0227
2026-05,9,Enhanced analyzing benchmark,Groceries,52.0,1968.05,37.78,0.0999,1.0,0.0192
2026-06,9,Enhanced analyzing benchmark,Groceries,34.0,1277.91,37.5,0.0999,0.0,0.0
2026-07,9,Enhanced analyzing benchmark,Groceries,1.0,37.92,37.92,,2.0,2.0
2025-01,10,Decentralized homogeneous collaboration,Sporting Goods,12.0,1753.65,149.98,0.2,0.0,0.0
2025-02,10,Decentralized homogeneous collaboration,Sporting Goods,34.0,5199.45,152.43,0.2,0.0,0.0
2025-03,10,Decentralized homogeneous collaboration,Sporting Goods,23.0,3491.95,152.73,0.1,0.0,0.0
2025-04,10,Decentralized homogeneous collaboration,Sporting Goods,20.0,3030.45,150.53,0.15,0.0,0.0
2025-05,10,Decentralized homogeneous collaboration,Sporting Goods,19.0,2922.77,153.83,,0.0,0.0
2025-06,10,Decentralized homogeneous collaboration,Sporting Goods,23.0,3491.95,152.65,0.1,0.0,0.0
2025-07,10,Decentralized homogeneous collaboration,Sporting Goods,25.0,3814.98,151.78,0.2,1.0,0.04
2025-08,10,Decentralized homogeneous collaboration,Sporting Goods,30.0,4491.83,148.7,0.1667,2.0,0.0667
2025-09,10,Decentralized homogeneous collaboration,Sporting Goods,39.0,5907.06,152.29,0.2,1.0,0.0256
2025-10,10,Decentralized homogeneous collaboration,Sporting Goods,41.0,6307.03,153.83,,0.0,0.0
2025-11,10,Decentralized homogeneous collaboration,Sporting Goods,43.0,6430.09,149.27,0.16,0.0,0.0
2025-12,10,Decentralized homogeneous collaboration,Sporting Goods,38.0,5768.63,151.52,0.15,0.0,0.0
2026-01,10,Decentralized homogeneous collaboration,Sporting Goods,41.0,6199.35,151.15,0.1333,1.0,0.0244
2026-02,10,Decentralized homogeneous collaboration,Sporting Goods,19.0,2922.77,153.83,,2.0,0.1053
2026-03,10,Decentralized homogeneous collaboration,Sporting Goods,31.0,4691.83,151.63,0.1,0.0,0.0
2026-04,10,Decentralized homogeneous collaboration,Sporting Goods,50.0,7537.7,151.35,0.1,1.0,0.02
2026-05,10,Decentralized homogeneous collaboration,Sporting Goods,38.0,5614.78,148.48,0.16,1.0,0.0263
2026-06,10,Decentralized homogeneous collaboration,Sporting Goods,25.0,3753.44,151.91,0.2,0.0,0.0
2026-07,10,Decentralized homogeneous collaboration,Sporting Goods,0.0,0.0,,,0.0,0.0
2025-01,11,Cross-platform cohesive migration,Beauty,17.0,476.8,27.92,0.0998,0.0,0.0
2025-02,11,Cross-platform cohesive migration,Beauty,24.0,673.78,27.73,0.2,0.0,0.0
2025-03,11,Cross-platform cohesive migration,Beauty,23.0,633.81,27.6,0.2,0.0,0.0
2025-04,11,Cross-platform cohesive migration,Beauty,19.0,525.32,27.67,0.2,0.0,0.0
2025-05,11,Cross-platform cohesive migration,Beauty,19.0,542.45,28.55,,0.0,0.0
2025-06,11,Cross-platform cohesive migration,Beauty,19.0,542.45,28.55,,1.0,0.0526
2025-07,11,Cross-platform cohesive migration,Beauty,37.0,1056.35,28.55,,0.0,0.0
2025-08,11,Cross-platform cohesive migration,Beauty,25.0,708.05,28.36,0.0998,1.0,0.04
2025-09,11,Cross-platform cohesive migration,Beauty,19.0,539.6,28.31,0.0998,1.0,0.0526
2025-10,11,Cross-platform cohesive migration,Beauty,36.0,1019.25,28.14,0.0998,0.0,0.0
2025-11,11,Cross-platform cohesive migration,Beauty,30.0,833.66,27.98,0.2,0.0,0.0
2025-12,11,Cross-platform cohesive migration,Beauty,42.0,1196.25,28.43,0.0998,0.0,0.0
2026-01,11,Cross-platform cohesive migration,Beauty,27.0,770.85,28.55,,0.0,0.0
2026-02,11,Cross-platform cohesive migration,Beauty,44.0,1239.07,28.07,0.2,1.0,0.0227
2026-03,11,Cross-platform cohesive migration,Beauty,33.0,936.45,28.4,0.0998,2.0,0.0606
2026-04,11,Cross-platform cohesive migration,Beauty,59.0,1635.96,27.88,0.1332,1.0,0.0169
2026-05,11,Cross-platform cohesive migration,Beauty,45.0,1270.5,28.28,0.0998,1.0,0.0222
2026-06,11,Cross-platform cohesive migration,Beauty,35.0,987.85,28.18,0.0998,0.0,0.0
2026-07,11,Cross-platform cohesive migration,Beauty,0.0,0.0,,,0.0,0.0
2025-01,12,Proactive clear-thinking throughput,Apparel,19.0,930.98,49.02,0.1,1.0,0.0526
2025-02,12,Proactive clear-thinking throughput,Apparel,15.0,732.9,48.42,0.1999,0.0,0.0
2025-03,12,Proactive clear-thinking throughput,Apparel,27.0,1327.14,48.94,0.1999,0.0,0.0
2025-04,12,Proactive clear-thinking throughput,Apparel,19.0,940.88,49.52,,1.0,0.0526
2025-05,12,Proactive clear-thinking throughput,Apparel,24.0,1168.68,48.62,0.1,1.0,0.0417
2025-06,12,Proactive clear-thinking throughput,Apparel,27.0,1292.49,48.06,0.1666,0.0,0.0
2025-07,12,Proactive clear-thinking throughput,Apparel,27.0,1302.39,48.74,0.1499,0.0,0.0
2025-08,12,Proactive clear-thinking throughput,Apparel,20.0,950.8,47.4,0.1499,0.0,0.0
2025-09,12,Proactive clear-thinking throughput,Apparel,31.0,1525.22,49.24,0.1,0.0,0.0
2025-10,12,Proactive clear-thinking throughput,Apparel,31.0,1520.27,49.23,0.1,0.0,0.0
2025-11,12,Proactive clear-thinking throughput,Apparel,52.0,2560.19,49.36,0.1,0.0,0.0
2025-12,12,Proactive clear-thinking throughput,Apparel,33.0,1614.36,48.81,0.1499,1.0,0.0303
2026-01,12,Proactive clear-thinking throughput,Apparel,29.0,1411.33,48.34,0.1666,1.0,0.0345
2026-02,12,Proactive clear-thinking throughput,Apparel,32.0,1554.94,48.74,0.1499,0.0,0.0
2026-03,12,Proactive clear-thinking throughput,Apparel,46.0,2238.32,49.01,0.1499,0.0,0.0
2026-04,12,Proactive clear-thinking throughput,Apparel,42.0,2060.04,49.15,0.1,1.0,0.0238
2026-05,12,Proactive clear-thinking throughput,Apparel,20.0,980.5,48.81,0.1999,0.0,0.0
2026-06,12,Proactive clear-thinking throughput,Apparel,40.0,1921.4,48.33,0.1499,1.0,0.025
2026-07,12,Proactive clear-thinking throughput,Apparel,0.0,0.0,,,1.0,0.0
2025-01,13,Networked radical middleware,Toys,13.0,615.81,46.91,0.2,0.0,0.0
2025-02,13,Networked radical middleware,Toys,33.0,1558.77,47.04,0.1333,0.0,0.0
2025-03,13,Networked radical middleware,Toys,34.0,1606.88,47.21,0.15,0.0,0.0
2025-04,13,Networked radical middleware,Toys,20.0,947.77,47.63,0.1,0.0,0.0
2025-05,13,Networked radical middleware,Toys,21.0,1010.31,48.11,,2.0,0.0952
2025-06,13,Networked radical middleware,Toys,28.0,1323.03,47.08,0.1,1.0,0.0357
2025-07,13,Networked radical middleware,Toys,32.0,1501.04,46.59,0.2,0.0,0.0
2025-08,13,Networked radical middleware,Toys,37.0,1765.64,47.71,0.1,0.0,0.0
2025-09,13,Networked radical middleware,Toys,22.0,1053.61,47.81,0.1,1.0,0.0455
2025-10,13,Networked radical middleware,Toys,24.0,1130.59,47.04,0.1333,1.0,0.0417
2025-11,13,Networked radical middleware,Toys,33.0,1582.82,47.87,0.1,0.0,0.0
2025-12,13,Networked radical middleware,Toys,32.0,1525.09,47.81,0.1,1.0,0.0312
2026-01,13,Networked radical middleware,Toys,36.0,1688.67,47.02,0.1666,2.0,0.0556
2026-02,13,Networked radical middleware,Toys,38.0,1760.84,46.96,0.125,2.0,0.0526
2026-03,13,Networked radical middleware,Toys,36.0,1731.96,48.11,,1.0,0.0278
2026-04,13,Networked radical middleware,Toys,33.0,1582.82,47.92,0.1,1.0,0.0303
2026-05,13,Networked radical middleware,Toys,57.0,2713.41,47.63,0.15,1.0,0.0175
2026-06,13,Networked radical middleware,Toys,47.0,2208.26,47.42,0.1,0.0,0.0
2026-07,13,Networked radical middleware,Toys,2.0,96.22,48.11,,0.0,0.0
2025-01,14,Future-proofed object-oriented contingency,Toys,21.0,1349.51,63.3,0.1667,0.0,0.0
2025-02,14,Future-proofed object-oriented contingency,Toys,14.0,882.11,64.18,0.2001,0.0,0.0
2025-03,14,Future-proofed object-oriented contingency,Toys,17.0,1119.11,65.83,,2.0,0.1176
2025-04,14,Future-proofed object-oriented contingency,Toys,21.0,1342.92,64.95,0.2001,0.0,0.0
2025-05,14,Future-proofed object-oriented contingency,Toys,20.0,1310.02,65.23,0.1,0.0,0.0
2025-06,14,Future-proofed object-oriented contingency,Toys,22.0,1408.77,63.64,0.125,0.0,0.0
2025-07,14,Future-proofed object-oriented contingency,Toys,36.0,2369.88,65.83,,0.0,0.0
2025-08,14,Future-proofed object-oriented contingency,Toys,23.0,1435.07,62.79,0.2001,0.0,0.0
2025-09,14,Future-proofed object-oriented contingency,Toys,35.0,2290.89,65.46,0.1,0.0,0.0
2025-10,14,Future-proofed object-oriented contingency,Toys,24.0,1566.75,64.95,0.2001,0.0,0.0
2025-11,14,Future-proofed object-oriented contingency,Toys,30.0,1941.99,64.51,0.1333,2.0,0.0667
2025-12,14,Future-proofed object-oriented contingency,Toys,33.0,2165.81,65.5,0.1,0.0,0.0
2026-01,14,Future-proofed object-oriented contingency,Toys,33.0,2146.06,64.58,0.1333,0.0,0.0
2026-02,14,Future-proofed object-oriented contingency,Toys,12.0,789.96,65.83,,1.0,0.0833
2026-03,14,Future-proofed object-oriented contingency,Toys,20.0,1316.6,65.83,,2.0,0.1
2026-04,14,Future-proofed object-oriented contingency,Toys,42.0,2751.69,65.38,0.2001,0.0,0.0
2026-05,14,Future-proofed object-oriented contingency,Toys,63.0,4094.63,64.92,0.1333,0.0,0.0
2026-06,14,Future-proofed object-oriented contingency,Toys,39.0,2554.21,65.54,0.1,0.0,0.0
2026-07,14,Future-proofed object-oriented contingency,Toys,3.0,197.49,65.83,,1.0,0.3333
2025-01,15,Multi-tiered asymmetric application,Home & Kitchen,6.0,2212.86,368.81,,0.0,0.0
2025-02,15,Multi-tiered asymmetric application,Home & Kitchen,26.0,9552.18,366.5,0.1,0.0,0.0
2025-03,15,Multi-tiered asymmetric application,Home & Kitchen,23.0,8445.75,366.18,0.1,0.0,0.0
2025-04,15,Multi-tiered asymmetric application,Home & Kitchen,17.0,6269.77,368.81,,0.0,0.0
2025-05,15,Multi-tiered asymmetric application,Home & Kitchen,30.0,11064.3,368.81,,1.0,0.0333
2025-06,15,Multi-tiered asymmetric application,Home & Kitchen,25.0,8851.45,357.28,0.1667,3.0,0.12
2025-07,15,Multi-tiered asymmetric application,Home & Kitchen,33.0,12170.73,368.81,,1.0,0.0303
2025-08,15,Multi-tiered asymmetric application,Home & Kitchen,31.0,11285.59,361.05,0.1333,1.0,0.0323
2025-09,15,Multi-tiered asymmetric application,Home & Kitchen,35.0,12502.67,357.75,0.15,0.0,0.0
2025-10,15,Multi-tiered asymmetric application,Home & Kitchen,13.0,4720.77,361.43,0.1,1.0,0.0769
2025-11,15,Multi-tiered asymmetric application,Home & Kitchen,24.0,8372.0,349.14,0.16,1.0,0.0417
