date,store_id,city,orders,customers,units_sold,revenue,average_order_value,cancelled_orders
2025-01-08,6,Perth,7.0,7.0,16.0,2294.91,327.84,0.0
2025-01-08,7,Adelaide,9.0,9.0,27.0,3489.75,387.75,1.0
2025-01-08,8,Canberra,5.0,5.0,15.0,1869.37,373.87,0.0
2025-01-09,1,Sydney,3.0,3.0,12.0,3676.12,1225.37,0.0
2025-01-09,2,Sydney,2.0,2.0,8.0,790.87,395.44,0.0
2025-01-09,3,Melbourne,4.0,4.0,9.0,4707.76,1176.94,0.0
2025-01-09,4,Melbourne,2.0,2.0,8.0,1047.02,523.51,0.0
2025-01-09,5,Brisbane,13.0,13.0,31.0,3317.05,255.16,0.0
2025-01-09,6,Perth,3.0,3.0,4.0,109.27,36.42,0.0
2025-01-09,7,Adelaide,7.0,7.0,18.0,2212.94,316.13,0.0
2025-01-09,8,Canberra,7.0,7.0,23.0,5131.0,733.0,0.0
2025-01-10,1,Sydney,4.0,4.0,13.0,1586.0,396.5,1.0
2025-01-10,2,Sydney,1.0,1.0,1.0,8.73,8.73,1.0
2025-01-10,3,Melbourne,4.0,4.0,19.0,2289.39,572.35,0.0
2025-01-10,4,Melbourne,6.0,6.0,17.0,5676.19,946.03,0.0
2025-01-10,5,Brisbane,3.0,3.0,11.0,1838.83,612.94,0.0
2025-01-10,6,Perth,9.0,9.0,24.0,2912.4,323.6,0.0
2025-01-10,7,Adelaide,2.0,2.0,5.0,226.93,113.46,1.0
2025-01-10,8,Canberra,11.0,11.0,46.0,7077.72,643.43,0.0
2025-01-11,1,Sydney,3.0,3.0,9.0,3749.92,1249.97,0.0
2025-01-11,2,Sydney,5.0,5.0,11.0,3832.79,766.56,0.0
2025-01-11,3,Melbourne,2.0,2.0,4.0,246.63,123.32,0.0
2025-01-11,4,Melbourne,5.0,5.0,10.0,639.64,127.93,0.0
2025-01-11,5,Brisbane,7.0,7.0,18.0,3473.24,496.18,1.0
2025-01-11,6,Perth,5.0,5.0,10.0,697.87,139.57,0.0
2025-01-11,7,Adelaide,7.0,7.0,20.0,2052.61,293.23,0.0
2025-01-11,8,Canberra,6.0,6.0,16.0,1394.75,232.46,0.0
2025-01-12,1,Sydney,5.0,5.0,9.0,1173.09,234.62,1.0
2025-01-12,2,Sydney,2.0,2.0,2.0,163.98,81.99,1.0
2025-01-12,3,Melbourne,4.0,4.0,11.0,2795.09,698.77,0.0
2025-01-12,4,Melbourne,3.0,3.0,13.0,526.41,175.47,0.0
2025-01-12,5,Brisbane,8.0,8.0,18.0,803.29,100.41,0.0
2025-01-12,6,Perth,6.0,6.0,16.0,1573.24,262.21,1.0
2025-01-12,7,Adelaide,5.0,5.0,9.0,2330.04,466.01,1.0
2025-01-12,8,Canberra,10.0,10.0,42.0,7963.66,796.37,0.0
2025-01-13,1,Sydney,2.0,2.0,4.0,91.62,45.81,1.0
2025-01-13,2,Sydney,1.0,1.0,1.0,101.13,101.13,0.0
2025-01-13,3,Melbourne,3.0,3.0,6.0,1110.58,370.19,0.0
2025-01-13,4,Melbourne,3.0,3.0,13.0,1612.75,537.58,0.0
2025-01-13,5,Brisbane,7.0,7.0,16.0,3834.38,547.77,0.0
2025-01-13,6,Perth,7.0,7.0,24.0,1971.46,281.64,0.0
2025-01-13,7,Adelaide,6.0,6.0,17.0,2243.31,373.88,0.0
2025-01-13,8,Canberra,11.0,11.0,35.0,5401.91,491.08,0.0
2025-01-14,1,Sydney,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,2,Sydney,3.0,3.0,7.0,799.34,266.45,0.0
2025-01-14,3,Melbourne,1.0,1.0,4.0,100.66,100.66,2.0
2025-01-14,4,Melbourne,3.0,3.0,9.0,1358.67,452.89,0.0
2025-01-14,5,Brisbane,4.0,4.0,10.0,413.99,103.5,0.0
2025-01-14,6,Perth,10.0,10.0,27.0,2813.68,281.37,0.0
2025-01-14,7,Adelaide,7.0,7.0,21.0,1628.51,232.64,1.0
2025-01-14,8,Canberra,13.0,13.0,39.0,5495.0,422.69,1.0
2025-01-15,1,Sydney,6.0,6.0,14.0,2275.79,379.3,0.0
2025-01-15,2,Sydney,2.0,2.0,7.0,568.92,284.46,0.0
2025-01-15,3,Melbourne,3.0,3.0,8.0,1059.91,353.3,0.0
2025-01-15,4,Melbourne,5.0,5.0,16.0,2719.4,543.88,1.0
2025-01-15,5,Brisbane,7.0,7.0,22.0,5865.97,838.0,0.0
2025-01-15,6,Perth,5.0,5.0,20.0,4724.51,944.9,1.0
2025-01-15,7,Adelaide,3.0,3.0,7.0,695.39,231.8,0.0
2025-01-15,8,Canberra,6.0,6.0,15.0,994.17,165.7,1.0
2025-01-16,1,Sydney,2.0,2.0,3.0,246.16,123.08,0.0
2025-01-16,2,Sydney,3.0,3.0,14.0,4187.24,1395.75,1.0
2025-01-16,3,Melbourne,4.0,4.0,17.0,4730.18,1182.54,0.0
2025-01-16,4,Melbourne,1.0,1.0,4.0,2790.14,2790.14,0.0
2025-01-16,5,Brisbane,9.0,9.0,24.0,7239.54,804.39,0.0
2025-01-16,6,Perth,9.0,9.0,27.0,4888.92,543.21,0.0
2025-01-16,7,Adelaide,2.0,2.0,3.0,154.85,77.42,0.0
2025-01-16,8,Canberra,3.0,3.0,5.0,243.14,81.05,0.0
2025-01-17,1,Sydney,5.0,5.0,18.0,2111.3,422.26,1.0
2025-01-17,2,Sydney,1.0,1.0,1.0,103.81,103.81,0.0
2025-01-17,3,Melbourne,3.0,3.0,9.0,3067.61,1022.54,1.0
2025-01-17,4,Melbourne,5.0,5.0,10.0,787.65,157.53,0.0
2025-01-17,5,Brisbane,7.0,7.0,22.0,4650.99,664.43,0.0
2025-01-17,6,Perth,5.0,5.0,14.0,1015.68,203.14,0.0
2025-01-17,7,Adelaide,5.0,5.0,17.0,2263.8,452.76,0.0
2025-01-17,8,Canberra,8.0,8.0,22.0,3296.93,412.12,0.0
2025-01-18,1,Sydney,4.0,4.0,16.0,1747.58,436.9,0.0
2025-01-18,2,Sydney,5.0,5.0,21.0,2943.18,588.64,0.0
2025-01-18,3,Melbourne,4.0,4.0,15.0,3351.12,837.78,1.0
2025-01-18,4,Melbourne,1.0,1.0,1.0,103.36,103.36,0.0
2025-01-18,5,Brisbane,5.0,5.0,9.0,623.58,124.72,2.0
2025-01-18,6,Perth,6.0,6.0,14.0,1176.6,196.1,1.0
2025-01-18,7,Adelaide,1.0,1.0,8.0,1079.32,1079.32,0.0
2025-01-18,8,Canberra,5.0,5.0,24.0,2024.88,404.98,0.0
2025-01-19,1,Sydney,5.0,5.0,21.0,2969.89,593.98,0.0
2025-01-19,2,Sydney,3.0,3.0,5.0,1302.36,434.12,2.0
2025-01-19,3,Melbourne,5.0,5.0,12.0,2106.93,421.39,0.0
2025-01-19,4,Melbourne,3.0,3.0,6.0,1347.58,449.19,0.0
2025-01-19,5,Brisbane,7.0,7.0,16.0,1871.53,267.36,0.0
2025-01-19,6,Perth,8.0,8.0,31.0,5193.89,649.24,0.0
2025-01-19,7,Adelaide,10.0,10.0,46.0,7202.6,720.26,1.0
2025-01-19,8,Canberra,5.0,5.0,20.0,5306.93,1061.39,1.0
2025-01-20,1,Sydney,4.0,4.0,15.0,3603.33,900.83,0.0
2025-01-20,2,Sydney,2.0,2.0,5.0,1590.73,795.36,0.0
2025-01-20,3,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,4,Melbourne,3.0,3.0,10.0,1182.43,394.14,0.0
2025-01-20,5,Brisbane,7.0,7.0,15.0,2477.56,353.94,0.0
2025-01-20,6,Perth,6.0,6.0,23.0,4996.95,832.82,0.0
2025-01-20,7,Adelaide,9.0,9.0,21.0,5939.45,659.94,0.0
2025-01-20,8,Canberra,6.0,6.0,23.0,1987.39,331.23,0.0
2025-01-21,1,Sydney,6.0,6.0,14.0,1129.47,188.24,0.0
2025-01-21,2,Sydney,4.0,4.0,20.0,1785.71,446.43,1.0
2025-01-21,3,Melbourne,3.0,3.0,6.0,1047.87,349.29,0.0
2025-01-21,4,Melbourne,6.0,6.0,21.0,1898.45,316.41,0.0
2025-01-21,5,Brisbane,7.0,7.0,28.0,8965.66,1280.81,0.0
2025-01-21,6,Perth,12.0,12.0,31.0,5740.47,478.37,0.0
2025-01-21,7,Adelaide,5.0,5.0,22.0,6244.28,1248.86,2.0
2025-01-21,8,Canberra,5.0,5.0,14.0,1932.94,386.59,0.0
2025-01-22,1,Sydney,5.0,5.0,12.0,961.93,192.39,0.0
2025-01-22,2,Sydney,3.0,3.0,7.0,294.68,98.23,0.0
2025-01-22,3,Melbourne,3.0,3.0,9.0,1943.03,647.68,0.0
2025-01-22,4,Melbourne,2.0,2.0,17.0,970.06,485.03,0.0
2025-01-22,5,Brisbane,6.0,6.0,19.0,1342.54,223.76,0.0
2025-01-22,6,Perth,8.0,8.0,19.0,2156.49,269.56,0.0
2025-01-22,7,Adelaide,2.0,2.0,4.0,131.0,65.5,0.0
2025-01-22,8,Canberra,7.0,7.0,22.0,2079.43,297.06,0.0
2025-01-23,1,Sydney,5.0,5.0,16.0,1695.38,339.08,0.0
2025-01-23,2,Sydney,5.0,5.0,16.0,1530.29,306.06,0.0
2025-01-23,3,Melbourne,3.0,3.0,13.0,826.51,275.5,0.0
2025-01-23,4,Melbourne,3.0,3.0,9.0,1219.82,406.61,0.0
2025-01-23,5,Brisbane,5.0,5.0,16.0,3003.88,600.78,0.0
2025-01-23,6,Perth,7.0,7.0,20.0,4892.59,698.94,0.0
2025-01-23,7,Adelaide,8.0,8.0,25.0,2888.1,361.01,1.0
2025-01-23,8,Canberra,8.0,8.0,22.0,4545.17,568.15,0.0
2025-01-24,1,Sydney,4.0,4.0,13.0,843.89,210.97,0.0
2025-01-24,2,Sydney,3.0,3.0,11.0,1064.63,354.88,0.0
2025-01-24,3,Melbourne,3.0,3.0,12.0,5091.09,1697.03,0.0
2025-01-24,4,Melbourne,5.0,5.0,16.0,5691.67,1138.33,0.0
2025-01-24,5,Brisbane,11.0,11.0,40.0,2752.0,250.18,0.0
2025-01-24,6,Perth,11.0,11.0,44.0,7371.29,670.12,1.0
2025-01-24,7,Adelaide,8.0,8.0,28.0,3506.13,438.27,0.0
2025-01-24,8,Canberra,7.0,7.0,24.0,2701.86,385.98,1.0
2025-01-25,1,Sydney,2.0,2.0,6.0,146.22,73.11,0.0
2025-01-25,2,Sydney,8.0,8.0,22.0,4025.91,503.24,0.0
2025-01-25,3,Melbourne,5.0,5.0,17.0,1340.35,268.07,0.0
2025-01-25,4,Melbourne,4.0,4.0,16.0,4062.48,1015.62,0.0
2025-01-25,5,Brisbane,6.0,6.0,17.0,1291.74,215.29,0.0
2025-01-25,6,Perth,13.0,13.0,57.0,8226.06,632.77,0.0
2025-01-25,7,Adelaide,4.0,4.0,11.0,1003.56,250.89,1.0
2025-01-25,8,Canberra,6.0,6.0,18.0,2836.47,472.75,0.0
2025-01-26,1,Sydney,3.0,3.0,8.0,689.19,229.73,0.0
2025-01-26,2,Sydney,2.0,2.0,5.0,1146.65,573.33,0.0
2025-01-26,3,Melbourne,2.0,2.0,6.0,302.97,151.48,1.0
2025-01-26,4,Melbourne,1.0,1.0,2.0,74.69,74.69,0.0
2025-01-26,5,Brisbane,9.0,9.0,24.0,4020.29,446.7,0.0
2025-01-26,6,Perth,3.0,3.0,11.0,661.53,220.51,0.0
2025-01-26,7,Adelaide,9.0,9.0,23.0,5269.84,585.54,0.0
2025-01-26,8,Canberra,3.0,3.0,11.0,476.21,158.74,0.0
2025-01-27,1,Sydney,2.0,2.0,7.0,3651.71,1825.86,0.0
2025-01-27,2,Sydney,5.0,5.0,15.0,2188.47,437.69,0.0
2025-01-27,3,Melbourne,3.0,3.0,10.0,1906.68,635.56,0.0
2025-01-27,4,Melbourne,5.0,5.0,16.0,3058.19,611.64,0.0
2025-01-27,5,Brisbane,6.0,6.0,14.0,1449.32,241.55,0.0
2025-01-27,6,Perth,5.0,5.0,14.0,1674.75,334.95,0.0
2025-01-27,7,Adelaide,7.0,7.0,21.0,3759.7,537.1,0.0
2025-01-27,8,Canberra,13.0,13.0,58.0,10238.41,787.57,0.0
2025-01-28,1,Sydney,4.0,4.0,9.0,1147.17,286.79,0.0
2025-01-28,2,Sydney,3.0,3.0,10.0,2691.05,897.02,0.0
2025-01-28,3,Melbourne,2.0,2.0,2.0,93.04,46.52,1.0
2025-01-28,4,Melbourne,5.0,5.0,20.0,5391.68,1078.34,0.0
2025-01-28,5,Brisbane,5.0,5.0,8.0,1808.87,361.77,0.0
2025-01-28,6,Perth,8.0,8.0,25.0,5029.57,628.7,0.0
2025-01-28,7,Adelaide,9.0,9.0,34.0,4343.83,482.65,0.0
2025-01-28,8,Canberra,14.0,14.0,45.0,7714.53,551.04,0.0
2025-01-29,1,Sydney,2.0,2.0,8.0,556.79,278.4,1.0
2025-01-29,2,Sydney,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,3,Melbourne,5.0,5.0,16.0,2780.64,556.13,0.0
2025-01-29,4,Melbourne,1.0,1.0,3.0,189.2,189.2,0.0
2025-01-29,5,Brisbane,12.0,12.0,39.0,5914.01,492.83,0.0
2025-01-29,6,Perth,6.0,6.0,15.0,1788.38,298.06,1.0
2025-01-29,7,Adelaide,9.0,9.0,23.0,3011.12,334.57,0.0
2025-01-29,8,Canberra,8.0,8.0,21.0,3124.37,390.55,0.0
2025-01-30,1,Sydney,6.0,6.0,17.0,3783.6,630.6,0.0
2025-01-30,2,Sydney,4.0,4.0,21.0,3112.73,778.18,0.0
2025-01-30,3,Melbourne,4.0,4.0,7.0,488.09,122.02,0.0
2025-01-30,4,Melbourne,1.0,1.0,6.0,775.46,775.46,0.0
2025-01-30,5,Brisbane,10.0,10.0,38.0,6755.53,675.55,0.0
2025-01-30,6,Perth,4.0,4.0,12.0,1843.29,460.82,0.0
2025-01-30,7,Adelaide,6.0,6.0,11.0,1417.54,236.26,1.0
2025-01-30,8,Canberra,7.0,7.0,18.0,1418.25,202.61,0.0
2025-01-31,1,Sydney,5.0,5.0,24.0,3423.81,684.76,0.0
2025-01-31,2,Sydney,3.0,3.0,9.0,3324.03,1108.01,0.0
2025-01-31,3,Melbourne,2.0,2.0,8.0,2249.99,1124.99,0.0
2025-01-31,4,Melbourne,2.0,2.0,5.0,1430.41,715.2,0.0
2025-01-31,5,Brisbane,4.0,4.0,11.0,3862.89,965.72,0.0
2025-01-31,6,Perth,6.0,6.0,17.0,1912.59,318.76,1.0
2025-01-31,7,Adelaide,3.0,3.0,14.0,976.82,325.61,1.0
2025-01-31,8,Canberra,6.0,6.0,20.0,3672.66,612.11,1.0
2025-02-01,1,Sydney,5.0,5.0,8.0,1379.5,275.9,0.0
2025-02-01,2,Sydney,5.0,5.0,28.0,6968.3,1393.66,1.0
2025-02-01,3,Melbourne,3.0,3.0,13.0,1913.09,637.7,0.0
2025-02-01,4,Melbourne,6.0,6.0,22.0,3007.6,501.27,0.0
2025-02-01,5,Brisbane,8.0,8.0,33.0,3697.4,462.18,0.0
2025-02-01,6,Perth,5.0,5.0,16.0,1878.13,375.63,0.0
2025-02-01,7,Adelaide,3.0,3.0,11.0,2799.25,933.08,0.0
2025-02-01,8,Canberra,7.0,7.0,19.0,4601.34,657.33,0.0
2025-02-02,1,Sydney,4.0,4.0,9.0,880.78,220.2,0.0
2025-02-02,2,Sydney,6.0,6.0,22.0,2457.6,409.6,1.0
2025-02-02,3,Melbourne,3.0,3.0,12.0,590.02,196.67,0.0
2025-02-02,4,Melbourne,2.0,2.0,7.0,2344.18,1172.09,0.0
2025-02-02,5,Brisbane,8.0,8.0,26.0,4051.58,506.45,1.0
2025-02-02,6,Perth,7.0,7.0,23.0,3336.34,476.62,0.0
2025-02-02,7,Adelaide,6.0,6.0,12.0,4833.45,805.58,0.0
2025-02-02,8,Canberra,10.0,10.0,32.0,4428.86,442.89,0.0
2025-02-03,1,Sydney,11.0,11.0,27.0,5101.3,463.75,0.0
2025-02-03,2,Sydney,3.0,3.0,4.0,176.68,58.89,1.0
2025-02-03,3,Melbourne,2.0,2.0,2.0,351.43,175.72,0.0
2025-02-03,4,Melbourne,4.0,4.0,16.0,2418.18,604.54,0.0
2025-02-03,5,Brisbane,6.0,6.0,16.0,1709.05,284.84,0.0
2025-02-03,6,Perth,8.0,8.0,18.0,2555.81,319.48,0.0
2025-02-03,7,Adelaide,7.0,7.0,31.0,3097.89,442.56,0.0
2025-02-03,8,Canberra,5.0,5.0,10.0,1688.78,337.76,1.0
2025-02-04,1,Sydney,8.0,8.0,18.0,1701.26,212.66,1.0
2025-02-04,2,Sydney,2.0,2.0,12.0,4784.74,2392.37,0.0
2025-02-04,3,Melbourne,1.0,1.0,5.0,568.92,568.92,0.0
2025-02-04,4,Melbourne,2.0,2.0,2.0,294.15,147.07,0.0
2025-02-04,5,Brisbane,8.0,8.0,29.0,3972.96,496.62,0.0
2025-02-04,6,Perth,5.0,5.0,18.0,1018.77,203.75,0.0
2025-02-04,7,Adelaide,9.0,9.0,38.0,5379.37,597.71,1.0
2025-02-04,8,Canberra,5.0,5.0,13.0,2561.62,512.32,1.0
2025-02-05,1,Sydney,8.0,8.0,40.0,7818.08,977.26,0.0
2025-02-05,2,Sydney,5.0,5.0,13.0,2776.66,555.33,0.0
2025-02-05,3,Melbourne,3.0,3.0,12.0,1023.09,341.03,0.0
2025-02-05,4,Melbourne,3.0,3.0,7.0,476.33,158.78,0.0
2025-02-05,5,Brisbane,10.0,10.0,26.0,2054.17,205.42,0.0
2025-02-05,6,Perth,7.0,7.0,17.0,1825.18,260.74,0.0
2025-02-05,7,Adelaide,4.0,4.0,12.0,4150.86,1037.71,0.0
2025-02-05,8,Canberra,9.0,9.0,19.0,2896.25,321.81,0.0
2025-02-06,1,Sydney,4.0,4.0,11.0,778.37,194.59,0.0
2025-02-06,2,Sydney,5.0,5.0,8.0,1844.57,368.91,0.0
2025-02-06,3,Melbourne,8.0,8.0,23.0,3248.88,406.11,0.0
2025-02-06,4,Melbourne,2.0,2.0,7.0,1378.06,689.03,0.0
2025-02-06,5,Brisbane,5.0,5.0,21.0,2248.24,449.65,0.0
2025-02-06,6,Perth,7.0,7.0,19.0,3650.86,521.55,0.0
2025-02-06,7,Adelaide,8.0,8.0,23.0,2802.98,350.37,0.0
2025-02-06,8,Canberra,6.0,6.0,15.0,2820.76,470.13,3.0
2025-02-07,1,Sydney,4.0,4.0,16.0,4650.68,1162.67,0.0
2025-02-07,2,Sydney,3.0,3.0,11.0,879.71,293.24,0.0
2025-02-07,3,Melbourne,8.0,8.0,29.0,4667.31,583.41,1.0
2025-02-07,4,Melbourne,5.0,5.0,14.0,3303.05,660.61,0.0
2025-02-07,5,Brisbane,8.0,8.0,25.0,4338.09,542.26,0.0
2025-02-07,6,Perth,10.0,10.0,24.0,3863.0,386.3,0.0
2025-02-07,7,Adelaide,3.0,3.0,6.0,3461.48,1153.83,1.0
2025-02-07,8,Canberra,10.0,10.0,37.0,3226.86,322.69,1.0
2025-02-08,1,Sydney,3.0,3.0,8.0,364.15,121.38,0.0
2025-02-08,2,Sydney,6.0,6.0,26.0,4640.37,773.4,0.0
2025-02-08,3,Melbourne,2.0,2.0,5.0,239.19,119.6,1.0
2025-02-08,4,Melbourne,3.0,3.0,16.0,1962.46,654.15,0.0
2025-02-08,5,Brisbane,6.0,6.0,21.0,2766.76,461.13,0.0
2025-02-08,6,Perth,7.0,7.0,18.0,4516.41,645.2,1.0
2025-02-08,7,Adelaide,9.0,9.0,25.0,3760.19,417.8,1.0
2025-02-08,8,Canberra,7.0,7.0,13.0,2113.18,301.88,0.0
2025-02-09,1,Sydney,4.0,4.0,13.0,2754.47,688.62,0.0
2025-02-09,2,Sydney,6.0,6.0,21.0,2658.01,443.0,0.0
2025-02-09,3,Melbourne,3.0,3.0,13.0,2272.86,757.62,0.0
2025-02-09,4,Melbourne,5.0,5.0,6.0,260.88,52.18,0.0
2025-02-09,5,Brisbane,7.0,7.0,20.0,2165.59,309.37,2.0
2025-02-09,6,Perth,7.0,7.0,23.0,7855.64,1122.23,0.0
2025-02-09,7,Adelaide,10.0,10.0,34.0,4089.27,408.93,0.0
2025-02-09,8,Canberra,7.0,7.0,13.0,1447.93,206.85,0.0
2025-02-10,1,Sydney,2.0,2.0,12.0,915.09,457.54,0.0
2025-02-10,2,Sydney,5.0,5.0,10.0,557.96,111.59,0.0
2025-02-10,3,Melbourne,1.0,1.0,2.0,223.66,223.66,0.0
2025-02-10,4,Melbourne,1.0,1.0,3.0,816.53,816.53,0.0
2025-02-10,5,Brisbane,11.0,11.0,37.0,6481.33,589.21,0.0
2025-02-10,6,Perth,7.0,7.0,35.0,4788.56,684.08,0.0
2025-02-10,7,Adelaide,4.0,4.0,10.0,1911.21,477.8,0.0
2025-02-10,8,Canberra,4.0,4.0,9.0,1787.48,446.87,2.0
2025-02-11,1,Sydney,2.0,2.0,7.0,761.22,380.61,0.0
2025-02-11,2,Sydney,2.0,2.0,6.0,557.86,278.93,0.0
2025-02-11,3,Melbourne,2.0,2.0,6.0,1437.68,718.84,0.0
2025-02-11,4,Melbourne,2.0,2.0,4.0,179.74,89.87,0.0
2025-02-11,5,Brisbane,10.0,10.0,32.0,4141.52,414.15,1.0
2025-02-11,6,Perth,4.0,4.0,11.0,1412.04,353.01,2.0
2025-02-11,7,Adelaide,4.0,4.0,10.0,483.52,120.88,1.0
2025-02-11,8,Canberra,10.0,10.0,40.0,4411.17,441.12,2.0
2025-02-12,1,Sydney,8.0,8.0,25.0,3095.01,386.88,1.0
2025-02-12,2,Sydney,2.0,2.0,10.0,985.13,492.56,0.0
2025-02-12,3,Melbourne,5.0,5.0,23.0,1551.48,310.3,0.0
2025-02-12,4,Melbourne,5.0,5.0,18.0,893.81,178.76,0.0
2025-02-12,5,Brisbane,9.0,9.0,35.0,3203.16,355.91,0.0
2025-02-12,6,Perth,7.0,7.0,17.0,4205.93,600.85,1.0
2025-02-12,7,Adelaide,7.0,7.0,22.0,5708.43,815.49,1.0
2025-02-12,8,Canberra,6.0,6.0,14.0,3043.51,507.25,1.0
2025-02-13,1,Sydney,8.0,8.0,22.0,6818.57,852.32,0.0
2025-02-13,2,Sydney,2.0,2.0,3.0,366.8,183.4,0.0
2025-02-13,3,Melbourne,3.0,3.0,16.0,1072.99,357.66,0.0
2025-02-13,4,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,5,Brisbane,8.0,8.0,34.0,7833.25,979.16,0.0
2025-02-13,6,Perth,9.0,9.0,38.0,6611.29,734.59,0.0
2025-02-13,7,Adelaide,12.0,12.0,31.0,3562.16,296.85,1.0
2025-02-13,8,Canberra,11.0,11.0,23.0,4969.48,451.77,1.0
2025-02-14,1,Sydney,5.0,5.0,15.0,1913.93,382.79,0.0
2025-02-14,2,Sydney,4.0,4.0,12.0,3531.09,882.77,1.0
2025-02-14,3,Melbourne,3.0,3.0,10.0,531.82,177.27,0.0
