customer_id,total_orders,total_spent,average_order_value,total_items,first_order_date,last_order_date,customer_lifetime_days,days_since_last_purchase,purchase_frequency,average_days_between_orders,recency,frequency,monetary,is_active
144,9.0,6029.55,669.95,26.0,2025-03-14,2026-06-25,857,6.0,0.3151,58.5,6.0,9.0,6029.55,True
145,10.0,2777.7,277.77,17.0,2025-01-19,2026-06-10,530,21.0,0.566,56.33,21.0,10.0,2777.7,True
146,6.0,2608.79,434.8,14.0,2025-04-04,2026-06-04,1247,27.0,0.1443,85.2,27.0,6.0,2608.79,True
147,9.0,5158.05,573.12,27.0,2025-04-25,2026-05-31,441,31.0,0.6122,50.12,31.0,9.0,5158.05,True
148,1.0,78.4,78.4,1.0,2026-03-28,2026-03-28,166,95.0,0.1807,,95.0,1.0,78.4,False
149,10.0,4592.53,459.25,26.0,2025-02-25,2026-05-30,679,32.0,0.4418,51.0,32.0,10.0,4592.53,True
150,6.0,3659.63,609.94,19.0,2025-04-22,2026-04-12,961,80.0,0.1873,71.0,80.0,6.0,3659.63,True
151,4.0,1520.12,380.03,12.0,2025-11-11,2026-02-01,247,150.0,0.4858,27.33,150.0,4.0,1520.12,False
152,7.0,1399.14,199.88,19.0,2025-02-01,2026-04-17,1011,75.0,0.2077,73.33,75.0,7.0,1399.14,True
153,7.0,2955.0,422.14,19.0,2025-02-21,2026-03-31,653,92.0,0.3216,67.17,92.0,7.0,2955.0,False
154,5.0,1640.82,328.16,16.0,2025-04-09,2026-05-01,1250,61.0,0.12,96.75,61.0,5.0,1640.82,True
155,12.0,2646.72,220.56,30.0,2025-01-13,2026-05-29,785,33.0,0.4586,45.55,33.0,12.0,2646.72,True
156,12.0,6500.85,541.74,35.0,2025-01-15,2026-06-11,713,20.0,0.5049,46.55,20.0,12.0,6500.85,True
157,9.0,2804.91,311.66,21.0,2025-02-28,2026-05-29,804,33.0,0.3358,56.88,33.0,9.0,2804.91,True
158,6.0,1429.68,238.28,13.0,2025-03-28,2026-01-10,960,172.0,0.1875,57.6,172.0,6.0,1429.68,False
159,10.0,1886.65,188.67,20.0,2025-05-05,2026-04-10,480,82.0,0.625,37.78,82.0,10.0,1886.65,True
160,7.0,2131.69,304.53,15.0,2025-07-12,2025-12-04,435,209.0,0.4828,24.17,209.0,7.0,2131.69,False
161,9.0,3384.97,376.11,29.0,2025-02-12,2026-01-15,1117,167.0,0.2417,42.12,167.0,9.0,3384.97,False
162,16.0,8626.87,539.18,49.0,2025-01-14,2026-06-22,948,9.0,0.5063,34.93,9.0,16.0,8626.87,True
163,4.0,329.02,82.26,11.0,2025-12-15,2026-06-19,217,12.0,0.553,62.0,12.0,4.0,329.02,True
164,1.0,307.15,307.15,1.0,2026-06-20,2026-06-20,201,11.0,0.1493,,11.0,1.0,307.15,True
165,7.0,2986.74,426.68,18.0,2025-02-18,2026-04-18,888,74.0,0.2365,70.67,74.0,7.0,2986.74,True
166,13.0,11713.24,901.02,44.0,2025-02-28,2026-06-20,510,11.0,0.7647,39.75,11.0,13.0,11713.24,True
167,8.0,4402.47,550.31,25.0,2025-01-03,2026-04-24,1189,68.0,0.2019,68.0,68.0,8.0,4402.47,True
168,2.0,343.14,171.57,8.0,2025-12-17,2026-03-07,267,116.0,0.2247,80.0,116.0,2.0,343.14,False
169,7.0,5690.19,812.88,17.0,2026-01-26,2026-06-26,178,5.0,1.1798,25.17,5.0,7.0,5690.19,True
170,2.0,2080.61,1040.3,13.0,2026-05-09,2026-06-13,120,18.0,0.5,35.0,18.0,2.0,2080.61,True
171,2.0,959.54,479.77,9.0,2026-04-26,2026-06-27,184,4.0,0.3261,62.0,4.0,2.0,959.54,True
172,3.0,2358.91,786.3,7.0,2026-03-08,2026-04-04,277,88.0,0.3249,13.5,88.0,3.0,2358.91,True
173,6.0,8027.5,1337.92,27.0,2025-10-09,2026-06-03,317,28.0,0.5678,47.4,28.0,6.0,8027.5,True
174,7.0,6429.77,918.54,27.0,2025-08-15,2026-06-16,349,15.0,0.6017,50.83,15.0,7.0,6429.77,True
175,2.0,137.77,68.88,5.0,2026-04-29,2026-05-03,73,59.0,0.8219,4.0,59.0,2.0,137.77,True
176,11.0,2958.15,268.92,30.0,2025-03-18,2026-06-17,757,14.0,0.4359,45.6,14.0,11.0,2958.15,True
177,10.0,5957.77,595.78,39.0,2025-04-25,2026-05-31,1139,31.0,0.2634,44.56,31.0,10.0,5957.77,True
178,9.0,2376.11,264.01,27.0,2025-02-24,2026-06-03,579,28.0,0.4663,58.0,28.0,9.0,2376.11,True
179,4.0,246.79,61.7,6.0,2025-10-11,2026-04-27,364,65.0,0.3297,66.0,65.0,4.0,246.79,True
180,0.0,0.0,0.0,0.0,,,30,,0.0,,,0.0,0.0,False
181,8.0,2820.71,352.59,12.0,2025-01-07,2025-12-16,995,197.0,0.2412,49.0,197.0,8.0,2820.71,False
182,2.0,426.62,213.31,7.0,2026-05-22,2026-05-27,98,35.0,0.6122,5.0,35.0,2.0,426.62,True
183,12.0,5144.41,428.7,43.0,2025-01-23,2026-06-16,1181,15.0,0.3048,46.27,15.0,12.0,5144.41,True
184,12.0,10907.73,908.98,43.0,2025-01-15,2026-07-01,676,0.0,0.5325,48.36,0.0,12.0,10907.73,True
185,2.0,717.5,358.75,6.0,2026-04-27,2026-04-30,348,62.0,0.1724,3.0,62.0,2.0,717.5,True
186,12.0,7393.52,616.13,42.0,2025-02-04,2026-05-22,837,40.0,0.4301,42.91,40.0,12.0,7393.52,True
187,13.0,8871.73,682.44,50.0,2025-01-13,2026-05-11,1020,51.0,0.3824,40.25,51.0,13.0,8871.73,True
188,7.0,2453.53,350.5,10.0,2025-04-10,2026-05-22,1093,40.0,0.1921,67.83,40.0,7.0,2453.53,True
189,6.0,5734.03,955.67,27.0,2025-10-19,2026-06-28,359,3.0,0.5014,50.4,3.0,6.0,5734.03,True
190,4.0,1014.5,253.62,12.0,2025-02-15,2026-02-01,902,150.0,0.133,117.0,150.0,4.0,1014.5,False
191,7.0,1741.85,248.84,18.0,2025-09-13,2026-06-22,296,9.0,0.7095,47.0,9.0,7.0,1741.85,True
192,9.0,8521.18,946.8,37.0,2025-04-29,2026-04-25,466,67.0,0.5794,45.12,67.0,9.0,8521.18,True
193,1.0,151.53,151.53,3.0,2026-06-25,2026-06-25,47,6.0,0.6383,,6.0,1.0,151.53,True
194,2.0,106.99,53.5,7.0,2026-04-04,2026-06-24,170,7.0,0.3529,81.0,7.0,2.0,106.99,True
195,13.0,10407.17,800.55,47.0,2025-02-15,2026-01-28,1143,154.0,0.3412,28.92,154.0,13.0,10407.17,False
196,1.0,1372.1,1372.1,4.0,2026-06-14,2026-06-14,30,17.0,1.0,,17.0,1.0,1372.1,True
197,1.0,1332.7,1332.7,4.0,2026-06-26,2026-06-26,148,5.0,0.2027,,5.0,1.0,1332.7,True
198,11.0,5808.03,528.0,29.0,2025-07-05,2026-06-02,378,29.0,0.873,33.2,29.0,11.0,5808.03,True
199,8.0,3259.82,407.48,26.0,2025-04-27,2026-05-09,683,53.0,0.3514,53.86,53.0,8.0,3259.82,True
200,3.0,487.38,162.46,5.0,2025-12-13,2026-01-22,222,160.0,0.4054,20.0,160.0,3.0,487.38,False
201,0.0,0.0,0.0,0.0,,,30,,0.0,,,0.0,0.0,False
202,12.0,10071.24,839.27,40.0,2025-03-24,2026-04-01,1173,91.0,0.3069,33.91,91.0,12.0,10071.24,False
203,8.0,2614.33,326.79,31.0,2025-07-12,2026-06-04,408,27.0,0.5882,46.71,27.0,8.0,2614.33,True
204,11.0,3637.01,330.64,40.0,2025-03-23,2026-04-08,849,84.0,0.3887,38.1,84.0,11.0,3637.01,True
205,9.0,4447.51,494.17,26.0,2025-01-12,2026-04-15,713,77.0,0.3787,57.25,77.0,9.0,4447.51,True
206,12.0,3597.81,299.82,35.0,2025-02-19,2026-04-22,921,70.0,0.3909,38.82,70.0,12.0,3597.81,True
207,11.0,6980.05,634.55,41.0,2025-01-31,2026-05-07,973,55.0,0.3392,46.1,55.0,11.0,6980.05,True
208,2.0,1433.46,716.73,3.0,2026-03-02,2026-04-06,149,86.0,0.4027,35.0,86.0,2.0,1433.46,True
209,1.0,985.71,985.71,6.0,2026-06-20,2026-06-20,291,11.0,0.1031,,11.0,1.0,985.71,True
210,6.0,927.31,154.55,24.0,2025-02-24,2026-03-16,1245,107.0,0.1446,77.0,107.0,6.0,927.31,False
211,5.0,1493.68,298.74,16.0,2025-04-28,2026-05-22,441,40.0,0.3401,97.25,40.0,5.0,1493.68,True
212,11.0,6178.25,561.66,36.0,2025-05-28,2026-05-23,418,39.0,0.7895,36.0,39.0,11.0,6178.25,True
213,9.0,4490.86,498.98,22.0,2025-02-07,2026-06-24,604,7.0,0.447,62.75,7.0,9.0,4490.86,True
214,6.0,3916.8,652.8,17.0,2025-01-01,2025-12-07,763,206.0,0.2359,68.0,206.0,6.0,3916.8,False
215,7.0,2281.03,325.86,26.0,2025-10-05,2026-05-23,316,39.0,0.6646,38.33,39.0,7.0,2281.03,True
216,1.0,342.92,342.92,5.0,2026-06-05,2026-06-05,60,26.0,0.5,,26.0,1.0,342.92,True
217,0.0,0.0,0.0,0.0,,,30,,0.0,,,0.0,0.0,False
218,11.0,3297.38,299.76,30.0,2025-01-05,2026-06-24,555,7.0,0.5946,53.5,7.0,11.0,3297.38,True
219,10.0,3918.02,391.8,33.0,2025-03-09,2026-06-20,887,11.0,0.3382,52.0,11.0,10.0,3918.02,True
220,5.0,4016.22,803.24,14.0,2025-12-04,2026-04-27,279,65.0,0.5376,36.0,65.0,5.0,4016.22,True
221,5.0,3826.11,765.22,16.0,2025-07-19,2026-06-26,857,5.0,0.175,85.5,5.0,5.0,3826.11,True
222,11.0,6921.68,629.24,39.0,2025-04-09,2026-05-21,564,41.0,0.5851,40.7,41.0,11.0,6921.68,True
223,2.0,608.11,304.05,4.0,2026-04-01,2026-04-13,158,79.0,0.3797,12.0,79.0,2.0,608.11,True
224,5.0,1909.53,381.91,22.0,2025-09-19,2026-05-17,344,45.0,0.436,60.0,45.0,5.0,1909.53,True
225,4.0,1718.05,429.51,10.0,2025-08-10,2026-05-14,350,48.0,0.3429,92.33,48.0,4.0,1718.05,True
